,variety,country_of_origin,processing_method,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,country_code
18,Other,Ethiopia,Natural / Dry,2014,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,0,231
19,Other,Others,Washed / Wet,2014,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,0,840
20,Caturra,Costa Rica,Washed / Wet,2014,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,0.11,188
21,Other,Mexico,Washed / Wet,2012,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,0.13,484
22,Other,Others,Washed / Wet,2014,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,0,840
23,Caturra,Ethiopia,Natural / Dry,2013,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,0.11,231
24,Bourbon,Brazil,Natural / Dry,2011,8.5,8.5,8,8,8,8,10,10,10,7.92,0.12,76
25,Caturra,Ethiopia,Washed / Wet,2010,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,0.05,231
26,Other,Uganda,Washed / Wet,2013,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,0.12,800
27,Caturra,Honduras,Washed / Wet,2016,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,0.1,340
28,Caturra,Others,Washed / Wet,2012,7.92,8.25,8,8.33,8,8.08,10,10,10,8,0.08,558
29,Bourbon,Brazil,Natural / Dry,2011,8.5,8.17,8,7.75,8,8,10,10,10,8,0.12,76
30,Caturra,Costa Rica,Washed / Wet,2016,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,0,188
31,Caturra,Ethiopia,Natural / Dry,2014,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,0.1,231
32,Other,Others,Washed / Wet,2013,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,0.12,404
33,Caturra,Ethiopia,Washed / Wet,2010,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,0.1,231
34,Other,Others,Washed / Wet,2014,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,0,840
35,Caturra,Thailand,Washed / Wet,2012,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,0.1,764
36,Yellow Bourbon,Brazil,Washed / Wet,2010,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,0.08,76
37,Yellow Bourbon,Brazil,Washed / Wet,2010,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,0.01,76
38,Other,Others,Natural / Dry,2014,8.08,8.08,8,8,7.83,8.08,10,10,10,8,0.11,404
39,Bourbon,Brazil,Semi-washed / Semi-pulped,2011,8.33,8,8,8,7.75,8,10,10,10,8,0.11,76
40,Caturra,Uganda,Semi-washed / Semi-pulped,2014,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,0,800
41,Caturra,Colombia,Washed / Wet,2013,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,0.12,170
42,Other,Others,Washed / Wet,2013,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,0.11,404
43,Other,Uganda,Washed / Wet,2012,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,0.1,800
44,Caturra,Ethiopia,Washed / Wet,2010,7.75,8.08,8,8.25,8,8,10,10,10,7.92,0.01,231
45,Bourbon,Guatemala,Washed / Wet,2016,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,0.1,320
46,Other,Uganda,Natural / Dry,2013,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,0.12,800
47,Caturra,Colombia,Washed / Wet,2013,8,8,8,8.17,7.83,8,10,10,10,7.92,0,170
48,Other,Others,Washed / Wet,2017,8,8,7.92,8.08,7.83,8,10,10,10,8,0.08,591
49,Caturra,Ethiopia,Washed / Wet,2014,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,0.1,231
50,Bourbon,Guatemala,Washed / Wet,2012,7.83,8,8,8.17,7.83,8,10,10,10,8,0.12,320
51,Catuai,Guatemala,Washed / Wet,2012,8,8,7.83,8.33,7.83,7.83,10,10,10,8,0.1,320
52,Caturra,Ethiopia,Natural / Dry,2017,7.83,8,7.83,8.17,7.92,8,10,10,10,8,0.09,231
53,Caturra,Others,Washed / Wet,2013,8,8,8,8.08,7.92,7.75,10,10,10,8,0.1,604
54,Caturra,Others,Washed / Wet,2012,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,0.12,598
55,Bourbon,Others,Washed / Wet,2013,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,0.1,222
56,Bourbon,Others,Semi-washed / Semi-pulped,2012,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,0.11,222
57,Caturra,Others,Natural / Dry,2014,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,0.09,591
58,Other,Others,Natural / Dry,2014,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,0.1,404
59,Other,Ethiopia,Natural / Dry,2015,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,0.12,231
60,Other,Uganda,Washed / Wet,2013,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,0.12,800
61,Bourbon,Guatemala,Washed / Wet,2013,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,0.11,320
62,Caturra,Ethiopia,Washed / Wet,2015,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,0.1,231
63,Other,Uganda,Washed / Wet,2013,8.08,8,7.83,7.67,8,7.83,10,10,10,8,0.12,800
64,Bourbon,Brazil,Semi-washed / Semi-pulped,2011,8,8,8,7.67,7.75,8,10,10,10,8,0.11,76
65,Caturra,Others,Washed / Wet,2010,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,0.01,222
66,Other,Others,Natural / Dry,2015,8,8,8,7.83,7.83,7.75,10,10,10,7.92,0.1,156
67,Other,Guatemala,Natural / Dry,2014,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,0.11,320
68,Caturra,Costa Rica,Washed / Wet,2014,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,0,188
69,Caturra,Costa Rica,Washed / Wet,2014,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,0.1,188
70,Other,Others,Washed / Wet,2012,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,0,404
71,Other,Others,Washed / Wet,2012,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,0,404
72,Caturra,Ethiopia,Washed / Wet,2010,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,0.05,231
73,Typica,Ethiopia,Washed / Wet,2010,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,0.1,231
74,Bourbon,Guatemala,Washed / Wet,2016,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,0.1,320
75,Caturra,Colombia,Washed / Wet,2015,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,0.11,170
76,Caturra,Colombia,Natural / Dry,2014,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,0.12,170
77,Other,Others,Semi-washed / Semi-pulped,2012,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,0.11,360
78,Caturra,Guatemala,Washed / Wet,2012,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,0,320
79,Other,Ethiopia,Natural / Dry,2016,7.75,8,7.58,8,8,7.92,10,10,10,7.83,0.11,231
80,Caturra,Colombia,Natural / Dry,2015,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,0,170
81,Caturra,Ethiopia,Natural / Dry,2014,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,0.1,231
82,Caturra,Colombia,Natural / Dry,2012,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,0.11,170
83,Caturra,Ethiopia,Washed / Wet,2010,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,0,231
84,Other,Uganda,Washed / Wet,2016,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,0.11,800
85,Caturra,Colombia,Washed / Wet,2016,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,0,170
86,Catuai,Costa Rica,Washed / Wet,2016,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,0.12,188
87,Typica,Mexico,Washed / Wet,2015,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,0.09,484
88,Caturra,Others,Washed / Wet,2015,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,0.11,404
89,Other,Others,Washed / Wet,2012,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,0,404
90,Mundo Novo,Brazil,Natural / Dry,2012,8,8,7.83,7.83,7.67,7.67,10,10,10,8,0.12,76
91,Other,Mexico,Washed / Wet,2011,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,0,484
92,Caturra,Guatemala,Washed / Wet,2010,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,0.04,320
93,Caturra,Colombia,Washed / Wet,2016,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,0,170
94,Caturra,Colombia,Washed / Wet,2015,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,0.12,170
95,Caturra,Colombia,Washed / Wet,2012,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,0.11,170
96,Typica,Mexico,Semi-washed / Semi-pulped,2012,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,0.11,484
97,Bourbon,Brazil,Natural / Dry,2011,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,0.11,76
98,Catuai,Brazil,Natural / Dry,2011,8,8,7.75,8,7.5,7.75,10,10,10,7.92,0.12,76
99,Caturra,Others,Washed / Wet,2010,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,0.06,404
100,Other,Uganda,Natural / Dry,2013,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,0.12,800
101,Caturra,Ethiopia,Washed / Wet,2010,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,0.1,231
102,Caturra,Ethiopia,Washed / Wet,2010,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,0.1,231
103,Caturra,Thailand,Pulped natural / honey,2015,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,0.12,764
104,Other,Others,Washed / Wet,2014,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,0.13,404
105,Catuai,Honduras,Washed / Wet,2014,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,0.11,340
106,Caturra,Others,Washed / Wet,2011,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,0.15,222
107,Caturra,Others,Washed / Wet,2010,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,0.18,558
108,Bourbon,Others,Washed / Wet,2016,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,0,222
109,Other,Others,Washed / Wet,2016,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,0.12,360
110,Mundo Novo,Others,Pulped natural / honey,2012,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,0.12,392
111,Catuai,Costa Rica,Washed / Wet,2015,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,0.1,188
112,Bourbon,Guatemala,Washed / Wet,2015,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,0.1,320
113,Caturra,Costa Rica,Washed / Wet,2014,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,0.12,188
114,Other,Ethiopia,Washed / Wet,2014,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,0.1,231
115,Other,Costa Rica,Other,2014,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,0.08,188
116,Catuai,Costa Rica,Washed / Wet,2014,8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,0.11,188
117,Caturra,Costa Rica,Washed / Wet,2012,8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92,0,188
118,Caturra,Colombia,Washed / Wet,2013,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,0,170
119,Other,Others,Washed / Wet,2012,7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,0.11,404
120,Bourbon,Guatemala,Washed / Wet,2012,8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,0.11,320
121,Bourbon,Guatemala,Washed / Wet,2012,7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,0.12,320
122,Typica,Mexico,Washed / Wet,2012,7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,7.92,0.13,484
123,Other,Uganda,Washed / Wet,2012,7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,0.11,800
124,Caturra,Others,Washed / Wet,2012,7.67,7.83,7.75,7.75,7.92,7.83,10,10,10,7.92,0,604
125,Caturra,Ethiopia,Washed / Wet,2010,7.42,7.75,7.75,8,8,7.92,10,10,10,7.83,0.2,231
126,Other,Others,Washed / Wet,2012,7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,7.83,0.11,404
127,Other,Colombia,Washed / Wet,2016,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08,0,170
128,Caturra,Colombia,Washed / Wet,2016,7.92,7.83,7.58,8,7.83,7.67,10,10,10,7.75,0,170
129,Other,Others,Washed / Wet,2013,7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,0.1,404
130,Other,Guatemala,Washed / Wet,2014,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,0.11,320
131,Bourbon,Guatemala,Washed / Wet,2014,8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,0.09,320
132,Caturra,Colombia,Washed / Wet,2013,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83,0,170
133,Caturra,Colombia,Washed / Wet,2013,7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92,0,170
134,Other,Others,Washed / Wet,2013,7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,7.75,0,404
135,Caturra,Colombia,Washed / Wet,2012,7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,0,170
136,Bourbon,Costa Rica,Semi-washed / Semi-pulped,2012,7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,0.12,188
137,Caturra,Colombia,Washed / Wet,2012,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,0.11,170
138,Bourbon,Brazil,Semi-washed / Semi-pulped,2011,8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,0.12,76
139,Catuai,Brazil,Semi-washed / Semi-pulped,2011,8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,0.11,76
140,Caturra,Costa Rica,Washed / Wet,2018,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,0.1,188
141,Other,Uganda,Washed / Wet,2016,7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,7.83,0.11,800
142,Other,Others,Washed / Wet,2015,7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92,0.1,156
143,Caturra,Costa Rica,Washed / Wet,2014,7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,0.11,188
144,Other,Colombia,Washed / Wet,2016,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,0.12,170
145,Other,Others,Washed / Wet,2013,7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,0,156
146,Bourbon,Guatemala,Washed / Wet,2013,8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5,0.11,320
147,Other,Others,Washed / Wet,2012,7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67,0.11,404
148,Typica,Mexico,Washed / Wet,2012,8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92,0.12,484
149,Typica,Mexico,Washed / Wet,2012,7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,7.67,0.11,484
150,Bourbon,Guatemala,Washed / Wet,2012,7.67,8,7.67,8,7.5,7.83,10,10,10,7.83,0.11,320
151,Caturra,Brazil,Washed / Wet,2012,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10,10,8.13,0,76
152,Caturra,Brazil,Washed / Wet,TEST,8.17,7.67,7.75,7.75,7.67,7.75,10,10,10,7.75,0,76
153,Caturra,Costa Rica,Washed / Wet,2016,7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,0.1,188
154,Other,Others,Other,2017,7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,8,0,360
155,Caturra,Colombia,Natural / Dry,2016,7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,7.67,0,170
156,Caturra,Colombia,Washed / Wet,2014,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,0,170
157,Other,Mexico,Washed / Wet,2012,7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,7.83,0.12,484
158,Caturra,Ethiopia,Washed / Wet,2010,7.5,7.75,7.83,7.92,7.92,7.75,10,10,10,7.75,0.2,231
159,Other,Others,Washed / Wet,2018,7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17,0.11,404
160,Caturra,Honduras,Washed / Wet,2016,7.92,8,7.75,7.67,7.67,7.75,10,10,10,7.58,0.1,340
161,Caturra,Colombia,Washed / Wet,2016,7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,7.5,0,170
162,Catuai,Honduras,Washed / Wet,2016,7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,0.11,340
163,Caturra,Colombia,Washed / Wet,2016,7.67,7.67,7.75,7.83,7.75,7.83,10,10,10,7.83,0,170
164,Caturra,Colombia,Natural / Dry,2015,7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,0.11,170
165,Caturra,Colombia,Washed / Wet,2013,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,0,170
166,Typica,Mexico,Washed / Wet,2012,8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,0.12,484
167,Yellow Bourbon,Brazil,Washed / Wet,2011,8.17,8,7.5,7.75,7.5,7.67,10,10,10,7.75,0,76
168,Caturra,Brazil,Washed / Wet,2011,8,8,7.5,7.5,7.67,7.75,10,10,10,7.92,0.02,76
169,Caturra,Ethiopia,Washed / Wet,2012,7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,7.75,0,231
170,Caturra,Guatemala,Washed / Wet,2009,7.5,7.67,7.75,7.67,7.92,7.92,10,10,10,7.92,0.04,320
171,Other,Thailand,Natural / Dry,2015,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,0.12,764
172,Caturra,Colombia,Natural / Dry,2016,7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,0.11,170
173,Caturra,Guatemala,Washed / Wet,2016,7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,0.11,320
174,Caturra,Guatemala,Washed / Wet,2015,7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,0.1,320
175,Other,Others,Natural / Dry,2015,7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,0.1,156
176,Caturra,Colombia,Washed / Wet,2015,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,0.11,170
177,Caturra,Colombia,Washed / Wet,2015,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,0.12,170
178,Other,Colombia,Washed / Wet,2016,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,0.12,170
179,Caturra,Colombia,Natural / Dry,2015,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,0.12,170
180,Bourbon,Guatemala,Other,2014,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,0.1,320
181,Caturra,Colombia,Washed / Wet,2013,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,0.11,170
182,Typica,Mexico,Semi-washed / Semi-pulped,2012,7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,0.12,484
183,Bourbon,Mexico,Washed / Wet,2012,7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75,0.12,484
184,Bourbon,Mexico,Washed / Wet,2012,7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83,0.1,484
185,Other,Uganda,Natural / Dry,2012,8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,7.67,0.13,800
186,Bourbon,Guatemala,Washed / Wet,2017,7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75,0.13,320
187,Caturra,Colombia,Washed / Wet,2016,7.83,7.75,7.58,7.67,7.75,7.83,10,10,10,7.75,0,170
188,Caturra,Costa Rica,Washed / Wet,2016,7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8,0.09,188
189,Caturra,Guatemala,Washed / Wet,2016,7.75,7.75,7.58,8,7.67,7.83,10,10,10,7.58,0.11,320
190,Caturra,Guatemala,Washed / Wet,2016,7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,7.67,0.1,320
191,Bourbon,Guatemala,Washed / Wet,2016,7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,7.83,0.1,320
192,Caturra,Colombia,Washed / Wet,2015,8,7.5,7.5,7.67,8,7.83,10,10,10,7.67,0,170
193,Caturra,Others,Natural / Dry,2015,7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,7.83,0.12,558
194,Catuai,Brazil,Natural / Dry,2015,7.67,7.75,7.75,7.67,7.83,7.75,10,10,10,7.75,0,76
195,Caturra,Costa Rica,Washed / Wet,2014,7.67,7.75,7.67,7.75,7.5,8,10,10,10,7.83,0,188
196,Other,Ethiopia,Natural / Dry,2014,7.5,7.92,7.58,7.83,7.75,7.83,10,10,10,7.75,0.1,231
197,Other,Colombia,Washed / Wet,2015,7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,7.5,0.12,170
198,Caturra,Guatemala,Washed / Wet,2013,7.67,7.75,7.67,7.75,7.75,7.75,10,10,10,7.83,0.11,320
199,Other,Others,Washed / Wet,2013,7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,7.75,0.08,404
200,Mundo Novo,Brazil,Natural / Dry,2012,7.58,7.83,7.75,7.67,7.67,8,10,10,10,7.67,0.11,76
201,Bourbon,Guatemala,Washed / Wet,2013,7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,7.42,0.11,320
202,Bourbon,Others,Natural / Dry,2013,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,7.92,0.11,222
203,Caturra,Colombia,Washed / Wet,2012,7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58,0,170
204,Catuai,Guatemala,Natural / Dry,2012,7.83,7.5,7.5,8,7.83,7.83,10,10,10,7.67,0.11,320
205,Other,Uganda,Washed / Wet,2012,7.83,7.75,7.5,7.83,7.83,7.75,10,10,10,7.67,0.11,800
206,Other,Others,Natural / Dry,2017,7.81,7.88,7.56,7.75,7.63,7.75,10,10,10,7.75,0.12,360
207,Caturra,Colombia,Washed / Wet,2018,7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5,0,170
208,Bourbon,Guatemala,Washed / Wet,2016,8,7.75,7.5,7.58,7.92,7.67,10,10,10,7.67,0.1,320
209,Caturra,Colombia,Washed / Wet,2014,7.92,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,0,170
210,Bourbon,Guatemala,Washed / Wet,2014,7.58,7.75,7.67,8,7.75,7.67,10,10,10,7.67,0.1,320
211,Typica,Mexico,Washed / Wet,2012,7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,7.83,0.11,484
212,Other,Ethiopia,Natural / Dry,2012,7.92,7.92,7.83,8,7.92,7.92,10,10,8.67,7.92,0.09,231
213,Caturra,Costa Rica,Washed / Wet,2017,7.58,7.75,7.67,7.75,7.83,7.75,10,10,10,7.67,0.08,188
214,Other,Ethiopia,Natural / Dry,2017,7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,7.92,0.11,231
215,Caturra,Honduras,Washed / Wet,2017,7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,7.75,0.1,340
216,Caturra,Guatemala,Washed / Wet,2015,7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,7.58,0.12,320
217,Other,Colombia,Washed / Wet,2015,7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,7.83,0.11,170
218,Bourbon,Guatemala,Natural / Dry,2014,7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,7.5,0.1,320
219,Bourbon,Guatemala,Other,2014,7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,7.83,0.1,320
220,Caturra,Colombia,Washed / Wet,2014,7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,7.83,0.12,170
221,Caturra,Colombia,Natural / Dry,2014,7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,7.67,0.12,170
222,Caturra,Colombia,Washed / Wet,2014,7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33,0.12,170
223,Other,Ethiopia,Natural / Dry,2013,7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83,0.09,231
224,Yellow Bourbon,Brazil,Natural / Dry,2014,7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92,0.1,76
225,Caturra,Colombia,Washed / Wet,2013,7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67,0.11,170
226,Other,Others,Washed / Wet,2012,7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,7.67,0,404
227,Other,Thailand,Washed / Wet,2012,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,0.12,764
228,Other,Others,Washed / Wet,2012,7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,7.67,0,404
229,Other,Uganda,Washed / Wet,2012,7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,7.58,0.1,800
230,Caturra,Thailand,Washed / Wet,2011,7.58,7.75,7.58,7.75,7.58,7.75,10,10,10,8,0.06,764
231,Bourbon,Brazil,Natural / Dry,2018,7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,8.5,0,76
232,Mundo Novo,Mexico,Washed / Wet,2017,7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,7.83,0.11,484
233,Other,Thailand,Natural / Dry,2015,7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,7.83,0.1,764
234,Bourbon,Brazil,Natural / Dry,2016,7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83,0.11,76
235,Caturra,Colombia,Washed / Wet,2016,7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,7.67,0.11,170
236,Caturra,Colombia,Washed / Wet,2016,7.75,7.58,7.5,7.83,7.75,7.92,10,10,10,7.58,0,170
237,Caturra,Colombia,Washed / Wet,2015,7.92,7.67,7.5,7.83,7.58,7.67,10,10,10,7.75,0,170
238,Caturra,Colombia,Washed / Wet,2014,7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,7.67,0,170
239,Caturra,Colombia,Washed / Wet,2014,7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58,0,170
240,Caturra,Colombia,Natural / Dry,2014,7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5,0.12,170
241,Typica,Mexico,Washed / Wet,2012,7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,7.67,0.12,484
242,Typica,Mexico,Washed / Wet,2012,7.5,7.67,7.58,7.83,7.75,7.75,10,10,10,7.83,0.11,484
243,Typica,Mexico,Washed / Wet,2012,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,7.75,0,484
244,Caturra,Colombia,Washed / Wet,2017,7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75,0,170
245,Caturra,Colombia,Washed / Wet,2016,7.83,7.67,7.5,7.75,7.75,7.75,10,10,10,7.58,0,170
