Unnamed: 0,total_cup_points,species,variety,country_of_origin,processing_method,harvest_year,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture
199,84.25,Arabica,Other,Colombia,Washed / Wet,2016,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,0.12
200,84.25,Arabica,Caturra,Colombia,Natural / Dry,2015,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,0.12
201,84.25,Arabica,Other,"Tanzania, United Republic Of",Washed / Wet,2014,7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83,0.12
202,84.25,Arabica,Other,"Tanzania, United Republic Of",Washed / Wet,2014,7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75,0.12
203,84.25,Arabica,Bourbon,Guatemala,Other,2014,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,0.1
204,84.25,Arabica,Caturra,Colombia,Washed / Wet,2013,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,0.11
205,84.25,Arabica,Hawaiian Kona,United States (Hawaii),Natural / Dry,2012,7.33,7.92,7.92,7.92,7.92,8.08,10,10,9.33,7.83,0.11
206,84.25,Arabica,Typica,Mexico,Semi-washed / Semi-pulped,2012,7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,0.12
207,84.25,Arabica,Bourbon,Mexico,Washed / Wet,2012,7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75,0.12
208,84.25,Arabica,Bourbon,Mexico,Washed / Wet,2012,7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83,0.1
209,84.25,Arabica,Other,Uganda,Natural / Dry,2012,8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,7.67,0.13
210,84.17,Arabica,Bourbon,Guatemala,Washed / Wet,2017,7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75,0.13
211,84.17,Arabica,Caturra,Colombia,Washed / Wet,2016,7.83,7.75,7.58,7.67,7.75,7.83,10,10,10,7.75,0
212,84.17,Arabica,Caturra,Costa Rica,Washed / Wet,2016,7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8,0.09
213,84.17,Arabica,Caturra,Guatemala,Washed / Wet,2016,7.75,7.75,7.58,8,7.67,7.83,10,10,10,7.58,0.11
214,84.17,Arabica,Caturra,Guatemala,Washed / Wet,2016,7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,7.67,0.1
215,84.17,Arabica,Bourbon,Guatemala,Washed / Wet,2016,7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,7.83,0.1
216,84.17,Arabica,Caturra,Colombia,Washed / Wet,2015,8,7.5,7.5,7.67,8,7.83,10,10,10,7.67,0
217,84.17,Arabica,Caturra,Others,Natural / Dry,2015,7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,7.83,0.12
218,84.17,Arabica,Catuai,Brazil,Natural / Dry,2015,7.67,7.75,7.75,7.67,7.83,7.75,10,10,10,7.75,0
219,84.17,Arabica,Caturra,Costa Rica,Washed / Wet,2014,7.67,7.75,7.67,7.75,7.5,8,10,10,10,7.83,0
220,84.17,Arabica,Other,Ethiopia,Natural / Dry,2014,7.5,7.92,7.58,7.83,7.75,7.83,10,10,10,7.75,0.1
221,84.17,Arabica,Other,"Tanzania, United Republic Of",Washed / Wet,2014,7.92,7.75,7.75,7.75,7.75,7.58,10,10,10,7.67,0.13
222,84.17,Arabica,Other,Colombia,Washed / Wet,2015,7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,7.5,0.12
223,84.17,Arabica,Caturra,Guatemala,Washed / Wet,2013,7.67,7.75,7.67,7.75,7.75,7.75,10,10,10,7.83,0.11
224,84.17,Arabica,Other,Others,Washed / Wet,2013,7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,7.75,0.08
225,84.17,Arabica,Mundo Novo,Brazil,Natural / Dry,2012,7.58,7.83,7.75,7.67,7.67,8,10,10,10,7.67,0.11
226,84.17,Arabica,Bourbon,Guatemala,Washed / Wet,2013,7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,7.42,0.11
227,84.17,Arabica,Bourbon,Others,Natural / Dry,2013,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,7.92,0.11
228,84.17,Arabica,Caturra,Colombia,Washed / Wet,2012,7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58,0
229,84.17,Arabica,Catuai,Guatemala,Natural / Dry,2012,7.83,7.5,7.5,8,7.83,7.83,10,10,10,7.67,0.11
230,84.17,Arabica,Other,Uganda,Washed / Wet,2012,7.83,7.75,7.5,7.83,7.83,7.75,10,10,10,7.67,0.11
231,84.13,Arabica,Other,Others,Natural / Dry,2017,7.81,7.88,7.56,7.75,7.63,7.75,10,10,10,7.75,0.12
232,84.08,Arabica,Caturra,Colombia,Washed / Wet,2018,7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5,0
233,84.08,Arabica,Typica,Taiwan,Washed / Wet,2016,7.58,7.67,7.67,7.67,7.75,7.83,10,10,10,7.92,0.1
234,84.08,Arabica,Bourbon,Guatemala,Washed / Wet,2016,8,7.75,7.5,7.58,7.92,7.67,10,10,10,7.67,0.1
235,84.08,Arabica,Caturra,Colombia,Washed / Wet,2014,7.92,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,0
236,84.08,Arabica,Bourbon,Guatemala,Washed / Wet,2014,7.58,7.75,7.67,8,7.75,7.67,10,10,10,7.67,0.1
237,84.08,Arabica,Hawaiian Kona,United States (Hawaii),Natural / Dry,2012,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,10,8,0.11
238,84.08,Arabica,Typica,Mexico,Washed / Wet,2012,7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,7.83,0.11
239,84.08,Arabica,Other,Ethiopia,Natural / Dry,2012,7.92,7.92,7.83,8,7.92,7.92,10,10,8.67,7.92,0.09
240,84,Arabica,Caturra,Costa Rica,Washed / Wet,2017,7.58,7.75,7.67,7.75,7.83,7.75,10,10,10,7.67,0.08
241,84,Arabica,Other,Ethiopia,Natural / Dry,2017,7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,7.92,0.11
242,84,Arabica,Caturra,Honduras,Washed / Wet,2017,7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,7.75,0.1
243,84,Arabica,Caturra,Guatemala,Washed / Wet,2015,7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,7.58,0.12
244,84,Arabica,Other,Colombia,Washed / Wet,2015,7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,7.83,0.11
245,84,Arabica,Bourbon,Guatemala,Natural / Dry,2014,7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,7.5,0.1
246,84,Arabica,Bourbon,Guatemala,Other,2014,7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,7.83,0.1
247,84,Arabica,Caturra,Colombia,Washed / Wet,2014,7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,7.83,0.12
248,84,Arabica,Caturra,Colombia,Natural / Dry,2014,7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,7.67,0.12
249,84,Arabica,Caturra,Colombia,Washed / Wet,2014,7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33,0.12
250,84,Arabica,Other,Ethiopia,Natural / Dry,2013,7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83,0.09
251,84,Arabica,Yellow Bourbon,Brazil,Natural / Dry,2014,7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92,0.1
252,84,Arabica,Caturra,Colombia,Washed / Wet,2013,7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67,0.11
253,84,Arabica,Other,Others,Washed / Wet,2012,7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,7.67,0
254,84,Arabica,Other,Thailand,Washed / Wet,2012,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,0.12
255,84,Arabica,Other,Others,Washed / Wet,2012,7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,7.67,0
256,84,Arabica,Other,Uganda,Washed / Wet,2012,7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,7.58,0.1
257,84,Arabica,Caturra,Thailand,Washed / Wet,2011,7.58,7.75,7.58,7.75,7.58,7.75,10,10,10,8,0.06
258,83.92,Arabica,Bourbon,Brazil,Natural / Dry,2018,7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,8.5,0
259,83.92,Arabica,Mundo Novo,Mexico,Washed / Wet,2017,7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,7.83,0.11
260,83.92,Arabica,Other,Thailand,Natural / Dry,2015,7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,7.83,0.1
261,83.92,Arabica,Bourbon,Brazil,Natural / Dry,2016,7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83,0.11
262,83.92,Arabica,Typica,Taiwan,Washed / Wet,2015,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,7.83,0.11
263,83.92,Arabica,Caturra,Colombia,Washed / Wet,2016,7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,7.67,0.11
264,83.92,Arabica,Caturra,Colombia,Washed / Wet,2016,7.75,7.58,7.5,7.83,7.75,7.92,10,10,10,7.58,0
265,83.92,Arabica,Caturra,Taiwan,Natural / Dry,2014,7.75,7.75,7.58,7.75,7.75,7.67,10,10,10,7.67,0
266,83.92,Arabica,Caturra,Colombia,Washed / Wet,2015,7.92,7.67,7.5,7.83,7.58,7.67,10,10,10,7.75,0
267,83.92,Arabica,Caturra,Colombia,Washed / Wet,2014,7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,7.67,0
268,83.92,Arabica,Caturra,Colombia,Washed / Wet,2014,7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58,0
269,83.92,Arabica,Typica,Taiwan,Washed / Wet,2014,8,7.92,7.92,7.92,7.67,7.33,10,10,10,7.17,0.06
270,83.92,Arabica,Caturra,Colombia,Natural / Dry,2014,7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5,0.12
271,83.92,Arabica,Typica,Mexico,Washed / Wet,2012,7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,7.67,0.12
272,83.92,Arabica,Typica,Mexico,Washed / Wet,2012,7.5,7.67,7.58,7.83,7.75,7.75,10,10,10,7.83,0.11
273,83.92,Arabica,Typica,Mexico,Washed / Wet,2012,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,7.75,0
274,83.83,Arabica,Caturra,Colombia,Washed / Wet,2017,7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75,0
275,83.83,Arabica,Caturra,Colombia,Washed / Wet,2016,7.83,7.67,7.5,7.75,7.75,7.75,10,10,10,7.58,0
276,83.83,Arabica,Caturra,Costa Rica,Washed / Wet,2015,7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,7.83,0
277,83.83,Arabica,Bourbon,Guatemala,Washed / Wet,2016,7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,7.67,0.11
278,83.83,Arabica,Caturra,Taiwan,Washed / Wet,2016,7.75,7.67,7.5,7.75,7.75,7.67,10,10,10,7.75,0
279,83.83,Arabica,Yellow Bourbon,Brazil,Natural / Dry,2016,7.25,7.58,7.42,8,7.75,7.83,10,10,10,8,0
280,83.83,Arabica,Typica,Taiwan,Washed / Wet,2014,7.67,7.75,7.67,7.75,7.42,7.75,10,10,10,7.83,0
281,83.83,Arabica,Caturra,Ethiopia,Natural / Dry,2014,7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,7.75,0.12
282,83.83,Arabica,Bourbon,Brazil,Semi-washed / Semi-pulped,2015,7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08,0
283,83.83,Arabica,Catuai,Costa Rica,Washed / Wet,2013,7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,7.67,0.1
284,83.83,Arabica,Bourbon,Guatemala,Washed / Wet,2014,7.58,7.83,7.33,8,7.58,7.75,10,10,10,7.75,0.1
285,83.83,Arabica,Yellow Bourbon,Brazil,Natural / Dry,2014,7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,7.75,0.1
286,83.83,Arabica,Caturra,Others,Natural / Dry,2013,7.5,7.67,7.58,7.75,7.83,7.83,10,10,10,7.67,0.09
287,83.83,Arabica,Caturra,Colombia,Washed / Wet,2013,7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,7.92,0.11
288,83.83,Arabica,Bourbon,Guatemala,Washed / Wet,2013,7.5,7.83,7.5,7.83,7.83,7.67,10,10,10,7.67,0.11
289,83.83,Arabica,Bourbon,Mexico,Natural / Dry,2012,7.67,8,7.67,7.42,7.67,7.5,10,10,10,7.92,0.1
290,83.83,Arabica,Other,Mexico,Natural / Dry,2012,7.67,7.58,7.5,7.75,7.75,7.75,10,10,10,7.83,0.11
291,83.83,Arabica,Yellow Bourbon,Brazil,Semi-washed / Semi-pulped,2012,7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,7.83,0.12
292,83.83,Arabica,Caturra,Thailand,Washed / Wet,2011,7.75,7.75,7.58,8,7.67,7.58,10,10,10,7.5,0.02
293,83.83,Arabica,Caturra,Thailand,Washed / Wet,2011,7.5,7.83,7.58,7.58,7.75,7.83,10,10,10,7.75,0.01
294,83.83,Arabica,Caturra,Ethiopia,Washed / Wet,2010,7.58,7.83,7.58,8,7.83,7.5,10,10,10,7.5,0.1
295,83.75,Arabica,Other,Others,Washed / Wet,2012,7.75,7.58,7.5,7.58,7.75,7.75,10,10,10,7.83,0.11
296,83.75,Arabica,Bourbon,Brazil,Natural / Dry,2018,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.75,0.11
297,83.75,Arabica,Caturra,Colombia,Washed / Wet,2017,7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,7.75,0.11
298,83.75,Arabica,Typica,Taiwan,Natural / Dry,2016,7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,7.75,0
299,83.75,Arabica,Caturra,Colombia,Washed / Wet,2016,7.92,7.75,7.5,7.67,7.75,7.5,10,10,10,7.67,0
300,83.75,Arabica,Other,Others,Washed / Wet,2015,7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,7.75,0.1
301,83.75,Arabica,Caturra,Colombia,Natural / Dry,2016,7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,7.75,0
302,83.75,Arabica,Bourbon,Uganda,Natural / Dry,2013,8,7.92,7.58,7.75,7.33,7.5,10,10,10,7.67,0.12
303,83.75,Arabica,Other,Others,Washed / Wet,2013,7.83,7.83,7.83,7.67,8,8.17,9.33,9.33,10,7.75,0.12
304,83.75,Arabica,Caturra,Colombia,Washed / Wet,2014,7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,7.67,0
305,83.75,Arabica,Other,Colombia,Washed / Wet,2014,7.67,7.42,7.42,7.42,8,8.33,10,10,10,7.5,0
306,83.75,Arabica,Caturra,Colombia,Washed / Wet,2013,7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,7.75,0
307,83.75,Arabica,Caturra,Colombia,Washed / Wet,2013,7.75,7.67,7.75,7.58,7.42,8,10,10,10,7.58,0.11
308,83.75,Arabica,Hawaiian Kona,United States (Hawaii),Natural / Dry,2013,7.25,7.42,7.67,7.58,7.83,8.25,10,10,10,7.75,0
309,83.75,Arabica,Caturra,Mexico,Natural / Dry,2012,7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83,0.13
310,83.75,Arabica,Caturra,Guatemala,Washed / Wet,2012,7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,7.75,0.11
311,83.75,Arabica,Caturra,Colombia,Washed / Wet,Jan-11,7.83,7.83,7.58,7.33,7.42,7.67,10,10,10,8.08,0.1
312,83.75,Arabica,Caturra,Colombia,Washed / Wet,2010,7.75,7.67,7.25,7.25,7.58,8.5,10,10,10,7.75,0.06
313,83.75,Arabica,Caturra,United States (Hawaii),Washed / Wet,2012,7.83,7.67,7.75,7.67,7.58,7.5,10,10,10,7.75,0
314,83.67,Arabica,Bourbon,Brazil,Natural / Dry,2018,7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,7.83,0.11
315,83.67,Arabica,Other,Others,Washed / Wet,2017,8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,7.75,0.11
316,83.67,Arabica,Caturra,Honduras,Washed / Wet,2016,7.5,7.5,7.67,7.67,8,8,10,10,10,7.33,0.1
317,83.67,Arabica,Caturra,Others,Washed / Wet,2016,7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,7.5,0.1
318,83.67,Arabica,Bourbon,Brazil,Natural / Dry,2016,7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83,0.11
319,83.67,Arabica,Caturra,Taiwan,Natural / Dry,2015,7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75,0.1
320,83.67,Arabica,Caturra,Costa Rica,Washed / Wet,2012,7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,8.33,0.11
321,83.67,Arabica,Caturra,Thailand,Washed / Wet,2014,7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,0.12
322,83.67,Arabica,Caturra,Colombia,Washed / Wet,2015,7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83,0.11
323,83.67,Arabica,Bourbon,Guatemala,Washed / Wet,2014,8,7.5,7.33,8,8,8,9.33,10,10,7.5,0.1
324,83.67,Arabica,Caturra,Colombia,Washed / Wet,2013,7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,0
325,83.67,Arabica,Caturra,Colombia,Washed / Wet,2013,7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,0
326,83.67,Arabica,Bourbon,Guatemala,Washed / Wet,2013,7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,0.12
327,83.67,Arabica,Bourbon,Guatemala,Washed / Wet,2013,7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,7.67,0.11
328,83.67,Arabica,Caturra,Colombia,Washed / Wet,2012,7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83,0.11
329,83.67,Arabica,Caturra,Guatemala,Natural / Dry,2012,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,0.11
330,83.67,Arabica,Bourbon,Guatemala,Washed / Wet,2012,7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5,0.11
331,83.67,Arabica,Typica,Mexico,Washed / Wet,2012,7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,0.12
332,83.67,Arabica,Typica,Others,Washed / Wet,2012,8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58,0.12
333,83.67,Arabica,Caturra,Guatemala,Washed / Wet,2012,7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,0.1
334,83.67,Arabica,Caturra,United States (Hawaii),Washed / Wet,2012,7.75,8,7.92,8.08,7.75,8,9.33,9.33,9.33,8.17,0
335,83.58,Arabica,Bourbon,Brazil,Natural / Dry,2018,7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,0.11
336,83.58,Arabica,Caturra,Guatemala,Washed / Wet,2016,7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,0.11
337,83.58,Arabica,Caturra,Colombia,Washed / Wet,2016,7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,7.67,0.11
338,83.58,Arabica,Other,Others,Washed / Wet,2015,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,0.1
339,83.58,Arabica,Caturra,Colombia,Washed / Wet,2015,7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,0.12
340,83.58,Arabica,Caturra,Mexico,Washed / Wet,2014,7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,0.12
341,83.58,Arabica,Other,Ethiopia,Washed / Wet,2014,7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75,0
342,83.58,Arabica,Other,Uganda,Washed / Wet,2013,7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,0.12
343,83.58,Arabica,Caturra,Colombia,Natural / Dry,2014,7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,0
344,83.58,Arabica,Caturra,Colombia,Washed / Wet,2014,7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,0.12
345,83.58,Arabica,Caturra,Colombia,Washed / Wet,2014,7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,7.58,0
346,83.58,Arabica,Typica,Taiwan,Other,2014,7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,0.11
347,83.58,Arabica,Caturra,Colombia,Washed / Wet,2012,7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,0.11
348,83.58,Arabica,Typica,Mexico,Washed / Wet,2012,7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67,0.12
349,83.58,Arabica,Caturra,Colombia,Natural / Dry,2012,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,0.11
350,83.58,Arabica,Catuai,Brazil,Semi-washed / Semi-pulped,2012,7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,0.12
351,83.5,Arabica,Caturra,Colombia,Washed / Wet,2016,7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58,0
352,83.5,Arabica,Caturra,Taiwan,Washed / Wet,2017,7.58,7.58,7.17,7.17,7,7,10,10,10,10,0.11
353,83.5,Arabica,Caturra,Costa Rica,Washed / Wet,2015,7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83,0
354,83.5,Arabica,Caturra,Colombia,Natural / Dry,2016,7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,0
355,83.5,Arabica,Bourbon,Guatemala,Washed / Wet,2016,7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,0.1
356,83.5,Arabica,Caturra,Colombia,Washed / Wet,2015,7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,0.12
357,83.5,Arabica,Other,"Tanzania, United Republic Of",Washed / Wet,2015,7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,0.13
358,83.5,Arabica,Other,Others,Semi-washed / Semi-pulped,2015,7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67,0.13
359,83.5,Arabica,Caturra,Ethiopia,Natural / Dry,2014,7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,7.58,0.1
360,83.5,Arabica,Caturra,Colombia,Washed / Wet,2014,7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,7.67,0
361,83.5,Arabica,Caturra,Colombia,Washed / Wet,2014,8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,0.11
362,83.5,Arabica,Caturra,Guatemala,Washed / Wet,2013,7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,0.1
363,83.5,Arabica,Caturra,Colombia,Washed / Wet,2014,7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,7.67,0
364,83.5,Arabica,Caturra,Honduras,Natural / Dry,2015,7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,0.1
365,83.5,Arabica,Caturra,Colombia,Washed / Wet,2013,7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,7.67,0
366,83.5,Arabica,Caturra,Colombia,Washed / Wet,2013,7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,7.58,0.11
367,83.5,Arabica,Bourbon,Mexico,Natural / Dry,2012,7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,8.42,0.13
368,83.5,Arabica,Typica,Mexico,Semi-washed / Semi-pulped,2012,7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,7.58,0.11
369,83.5,Arabica,Other,Mexico,Washed / Wet,2012,7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,0.12
370,83.5,Arabica,Caturra,Guatemala,Washed / Wet,2012,7.83,7.5,7.5,8,7.67,7.5,10,10,10,7.5,0.1
371,83.5,Arabica,Caturra,Colombia,Washed / Wet,2012,7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,7.67,0.11
372,83.5,Arabica,Bourbon,Guatemala,Washed / Wet,2012,7.5,7.5,7.75,7.5,8,7.67,10,10,10,7.58,0
373,83.5,Arabica,Caturra,United States (Hawaii),Washed / Wet,2012,7.5,7.67,7.58,7.92,7.58,7.67,10,10,10,7.58,0.01
374,83.5,Arabica,Caturra,Others,Washed / Wet,23-Jul-10,7.83,7.58,7.58,7.58,7.75,7.58,10,10,10,7.58,0
375,83.42,Arabica,Caturra,Colombia,Washed / Wet,2018,7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,0
376,83.42,Arabica,Bourbon,Guatemala,Washed / Wet,2017,7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,7.67,0.1
377,83.42,Arabica,Caturra,Colombia,Washed / Wet,2016,7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,7.67,0.11
378,83.42,Arabica,Caturra,Costa Rica,Washed / Wet,2016,7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,7.83,0.09
379,83.42,Arabica,Caturra,Taiwan,Washed / Wet,2015,7.67,7.67,7,7.08,7,7,10,10,10,10,0.11
380,83.42,Arabica,Other,Uganda,Washed / Wet,2015,7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,7.75,0.11
381,83.42,Arabica,Other,Thailand,Washed / Wet,2015,7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,7.67,0.13
382,83.42,Arabica,Bourbon,Others,Washed / Wet,2016,7.58,7.5,7.75,7.58,7.75,7.67,10,10,10,7.58,0.11
383,83.42,Arabica,Caturra,Colombia,Natural / Dry,2015,7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,0.12
384,83.42,Arabica,Yellow Bourbon,Brazil,Semi-washed / Semi-pulped,2014,7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,7.75,0.12
385,83.42,Arabica,Bourbon,"Tanzania, United Republic Of",Washed / Wet,2014,7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,0.13
386,83.42,Arabica,Caturra,Colombia,Washed / Wet,2015,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,0.12
387,83.42,Arabica,Bourbon,Guatemala,Natural / Dry,2013,7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,0.1
388,83.42,Arabica,Caturra,Guatemala,Washed / Wet,2014,7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,0.1
389,83.42,Arabica,Bourbon,Guatemala,Washed / Wet,2013,7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,0.11
390,83.42,Arabica,Hawaiian Kona,United States (Hawaii),Natural / Dry,2012,7.42,7.75,7.67,7.58,7.67,7.67,10,10,10,7.67,0
391,83.42,Arabica,Caturra,Colombia,Washed / Wet,2012,7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,0.11
392,83.42,Arabica,Caturra,Colombia,Washed / Wet,2012,7.58,7.58,7.58,7.67,7.75,7.67,10,10,10,7.58,0.1
393,83.42,Arabica,Caturra,United States (Hawaii),Washed / Wet,2010,7.5,7.92,7.42,7.67,7.83,7.58,10,10,10,7.5,0.01
394,83.42,Arabica,Other,Thailand,Washed / Wet,2012,7.58,7.25,7.5,7.92,7.92,7.42,10,10,10,7.83,0.11
395,83.38,Arabica,Caturra,Mexico,Washed / Wet,2012,7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,8,0.09
396,83.33,Arabica,Caturra,Colombia,Washed / Wet,2016,7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,7.58,0
397,83.33,Arabica,Caturra,Colombia,Washed / Wet,2016,7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,7.67,0
